date,hour,demand
2021-03-22,21,65
2021-03-22,22,59
2021-03-22,23,56
2021-03-23,0,56
2021-03-23,1,53
2021-03-23,6,54
2021-03-23,7,61
2021-03-23,8,69
2021-03-23,9,71
2021-03-23,10,70
2021-03-23,11,71
2021-03-23,12,74
2021-03-23,13,73
2021-03-23,14,74
2021-03-23,15,71
2021-03-23,16,73
2021-03-23,17,74
2021-03-23,18,80
2021-03-23,19,68
2021-03-23,20,62
2021-03-23,21,59
2021-03-23,22,56
2021-03-23,23,58
2021-03-24,0,58
2021-03-24,2,55
2021-03-24,5,51
2021-03-24,6,57
2021-03-24,7,61
2021-03-24,8,69
2021-03-24,9,73
2021-03-24,11,73
2021-03-24,12,76
2021-03-24,13,77
2021-03-24,14,77
2021-03-24,15,76
2021-03-24,16,82
2021-03-24,17,85
2021-03-24,18,91
2021-03-24,19,84
2021-03-24,20,71
2021-03-24,21,69
2021-03-24,22,65
2021-03-24,23,64
2021-03-25,0,56
2021-03-25,1,53
2021-03-25,2,55
2021-03-25,5,54
2021-03-25,6,55
2021-03-25,7,65
2021-03-25,8,71
2021-03-25,9,72
2021-03-25,10,76
2021-03-25,11,82
2021-03-25,12,80
2021-03-25,13,82
2021-03-25,14,79
2021-03-25,15,78
2021-03-25,16,82
2021-03-25,17,82
2021-03-25,18,82
2021-03-25,19,81
2021-03-25,20,69
2021-03-25,21,63
2021-03-25,22,62
2021-03-25,23,58
2021-03-26,0,58
2021-03-26,1,53
2021-03-26,2,56
2021-03-26,5,54
2021-03-26,6,57
2021-03-26,7,61
2021-03-26,8,66
2021-03-26,9,73
2021-03-26,10,85
2021-03-26,11,86
2021-03-26,12,87
2021-03-26,13,82
2021-03-26,14,82
2021-03-26,15,82
2021-03-26,16,82
2021-03-26,17,85
2021-03-26,18,85
2021-03-26,19,78
2021-03-26,20,69
2021-03-26,21,66
2021-03-26,22,65
2021-03-26,23,64
2021-03-27,0,60
2021-03-27,1,54
2021-03-27,2,56
2021-03-27,3,56
2021-03-27,4,53
2021-03-27,6,56
2021-03-27,7,60
2021-03-27,8,67
2021-03-27,9,81
2021-03-27,10,99
2021-03-27,11,107
2021-03-27,12,117
2021-03-27,13,113
2021-03-27,14,101
2021-03-27,15,101
2021-03-27,16,95
2021-03-27,17,93
2021-03-27,18,99
2021-03-27,19,86
2021-03-27,20,81
2021-03-27,21,76
2021-03-27,22,69
2021-03-27,23,67
2021-03-28,0,66
2021-03-28,1,60
2021-03-28,2,65
2021-03-28,3,61
2021-03-28,4,56
2021-03-28,5,58
2021-03-28,7,68
2021-03-28,8,76
2021-03-28,9,85
2021-03-28,10,92
2021-03-28,11,95
2021-03-28,12,105
2021-03-28,13,105
2021-03-28,14,100
2021-03-28,15,100
2021-03-28,16,105
2021-03-28,17,105
2021-03-28,18,98
2021-03-28,19,92
2021-03-28,20,82
2021-03-28,21,72
2021-03-28,22,69
2021-03-28,23,71
2021-03-29,0,62
2021-03-29,2,55
2021-03-29,3,56
2021-03-29,4,54
2021-03-29,5,58
2021-03-29,6,58
2021-03-29,7,67
2021-03-29,8,75
2021-03-29,9,75
2021-03-29,10,71
2021-03-29,11,75
2021-03-29,12,83
2021-03-29,13,78
2021-03-29,14,78
2021-03-29,15,77
2021-03-29,16,82
2021-03-29,17,82
2021-03-29,18,85
2021-03-29,19,85
2021-03-29,20,74
2021-03-29,21,64
2021-03-29,22,68
2021-03-29,23,68
2021-03-30,0,56
2021-03-30,2,56
2021-03-30,6,54
2021-03-30,7,65
2021-03-30,8,69
2021-03-30,9,70
2021-03-30,10,61
2021-03-30,11,61
2021-03-30,12,63
2021-03-30,13,64
2021-03-30,14,67
2021-03-30,15,63
2021-03-30,16,72
2021-03-30,17,74
2021-03-30,18,78
2021-03-30,19,67
2021-03-30,20,66
2021-03-30,21,61
2021-03-30,22,63
2021-03-30,23,58
2021-03-31,1,60
2021-03-31,2,57
2021-03-31,5,55
2021-03-31,6,55
2021-03-31,7,65
2021-03-31,8,75
2021-03-31,9,81
2021-03-31,10,67
2021-03-31,11,64
2021-03-31,12,67
2021-03-31,13,68
2021-03-31,14,71
2021-03-31,15,72
2021-03-31,16,82
2021-03-31,17,92
2021-03-31,18,94
2021-03-31,19,94
2021-03-31,20,81
2021-03-31,21,75
2021-03-31,22,74
2021-03-31,23,76
2021-04-01,0,56
2021-04-01,1,56
2021-04-01,2,58
2021-04-01,6,61
2021-04-01,7,68
2021-04-01,8,77
2021-04-01,9,77
2021-04-01,10,78
2021-04-01,11,85
2021-04-01,12,82
2021-04-01,13,82
2021-04-01,14,81
2021-04-01,15,85
2021-04-01,16,93
2021-04-01,17,91
2021-04-01,18,92
2021-04-01,19,92
2021-04-01,20,86
2021-04-01,21,69
2021-04-01,22,70
2021-04-01,23,68
2021-04-02,0,64
2021-04-02,2,63
2021-04-02,5,56
2021-04-02,6,56
2021-04-02,7,65
2021-04-02,8,71
2021-04-02,9,75
2021-04-02,10,82
2021-04-02,11,92
2021-04-02,12,92
2021-04-02,13,92
2021-04-02,14,92
2021-04-02,15,91
2021-04-02,16,97
2021-04-02,17,94
2021-04-02,18,92
2021-04-02,19,92
2021-04-02,20,81
2021-04-02,21,68
2021-04-02,22,64
2021-04-02,23,59
2021-04-03,0,65
2021-04-03,1,64
2021-04-03,2,64
2021-04-03,3,64
2021-04-03,5,61
2021-04-03,6,60
2021-04-03,7,62
2021-04-03,8,69
2021-04-03,9,83
2021-04-03,10,94
2021-04-03,11,119
2021-04-03,12,124
2021-04-03,13,117
2021-04-03,14,117
2021-04-03,15,117
2021-04-03,16,117
2021-04-03,17,107
2021-04-03,18,106
2021-04-03,19,99
2021-04-03,20,89
2021-04-03,21,76
2021-04-03,22,65
2021-04-03,23,60
2021-04-04,0,61
2021-04-04,1,60
2021-04-04,2,60
2021-04-04,3,61
2021-04-04,6,59
2021-04-04,7,66
2021-04-04,8,72
2021-04-04,9,81
2021-04-04,10,88
2021-04-04,11,95
2021-04-04,12,107
2021-04-04,13,101
2021-04-04,14,99
2021-04-04,15,101
2021-04-04,16,99
2021-04-04,17,96
2021-04-04,18,94
2021-04-04,19,92
2021-04-04,20,76
2021-04-04,21,66
2021-04-04,22,64
2021-04-04,23,60
2021-04-05,0,55
2021-04-05,1,54
2021-04-05,2,56
2021-04-05,3,54
2021-04-05,5,54
2021-04-05,6,54
2021-04-05,7,60
2021-04-05,8,69
2021-04-05,9,71
2021-04-05,10,67
2021-04-05,11,73
2021-04-05,12,73
2021-04-05,13,73
2021-04-05,14,73
2021-04-05,15,73
2021-04-05,16,78
2021-04-05,17,85
2021-04-05,18,74
2021-04-05,19,76
2021-04-05,20,69
2021-04-05,21,61
2021-04-05,22,59
2021-04-05,23,56
2021-04-06,0,54
2021-04-06,1,58
2021-04-06,2,53
2021-04-06,5,51
2021-04-06,6,51
2021-04-06,7,59
2021-04-06,8,69
2021-04-06,9,70
2021-04-06,10,66
2021-04-06,11,66
2021-04-06,12,63
2021-04-06,13,64
2021-04-06,14,64
2021-04-06,15,61
2021-04-06,16,70
2021-04-06,17,71
2021-04-06,18,74
2021-04-06,19,64
2021-04-06,20,63
2021-04-06,21,58
2021-04-06,22,54
2021-04-06,23,50
2021-04-07,2,55
2021-04-07,5,54
2021-04-07,6,56
2021-04-07,7,61
2021-04-07,8,70
2021-04-07,9,71
2021-04-07,10,61
2021-04-07,11,59
2021-04-07,12,63
2021-04-07,13,63
2021-04-07,14,63
2021-04-07,15,63
2021-04-07,16,72
2021-04-07,17,79
2021-04-07,18,74
2021-04-07,19,75
2021-04-07,20,67
2021-04-07,21,63
2021-04-07,22,61
2021-04-07,23,59
2021-04-08,1,55
2021-04-08,4,54
2021-04-08,5,54
2021-04-08,6,57
2021-04-08,7,65
2021-04-08,8,74
2021-04-08,9,76
2021-04-08,10,72
2021-04-08,11,78
2021-04-08,12,73
2021-04-08,13,73
2021-04-08,14,73
2021-04-08,15,73
2021-04-08,16,75
2021-04-08,17,78
2021-04-08,18,78
2021-04-08,19,78
2021-04-08,20,70
2021-04-08,21,64
2021-04-08,22,63
2021-04-08,23,56
2021-04-09,0,63
2021-04-09,1,56
2021-04-09,2,56
2021-04-09,6,56
2021-04-09,7,65
2021-04-09,8,73
2021-04-09,9,78
2021-04-09,10,82
2021-04-09,11,82
2021-04-09,12,78
2021-04-09,13,83
2021-04-09,14,78
2021-04-09,15,82
2021-04-09,16,85
2021-04-09,17,85
2021-04-09,18,80
2021-04-09,19,80
2021-04-09,20,71
2021-04-09,21,68
2021-04-09,22,62
2021-04-09,23,60
2021-04-10,0,65
2021-04-10,1,60
2021-04-10,2,59
2021-04-10,3,57
2021-04-10,4,55
2021-04-10,6,55
2021-04-10,7,64
2021-04-10,8,66
2021-04-10,9,75
2021-04-10,10,85
2021-04-10,11,97
2021-04-10,12,112
2021-04-10,13,114
2021-04-10,14,114
2021-04-10,15,114
2021-04-10,16,114
2021-04-10,17,92
2021-04-10,18,92
2021-04-10,19,87
2021-04-10,20,77
2021-04-10,21,71
2021-04-10,22,68
2021-04-10,23,61
2021-04-11,0,64
2021-04-11,1,59
2021-04-11,2,61
2021-04-11,6,56
2021-04-11,7,65
2021-04-11,8,71
2021-04-11,9,74
2021-04-11,10,83
2021-04-11,11,85
2021-04-11,12,85
2021-04-11,13,85
2021-04-11,14,85
2021-04-11,15,85
2021-04-11,16,82
2021-04-11,17,82
2021-04-11,18,78
2021-04-11,19,78
2021-04-11,22,63
2021-04-11,23,60
2021-04-12,0,57
2021-04-12,1,57
2021-04-12,5,57
2021-04-12,6,54
2021-04-12,7,62
2021-04-12,8,71
2021-04-12,9,71
2021-04-12,10,69
2021-04-12,12,75
2021-04-12,13,72
2021-04-12,15,73
2021-04-12,16,74
2021-04-12,17,74
2021-04-12,18,72
2021-04-12,19,73
2021-04-12,20,65
2021-04-12,21,61
2021-04-12,22,63
2021-04-13,0,55
2021-04-13,5,48
2021-04-13,6,50
2021-04-13,7,58
2021-04-13,8,65
2021-04-13,9,68
2021-04-13,10,64
2021-04-13,11,66
2021-04-13,12,64
2021-04-13,13,65
2021-04-13,14,63
2021-04-13,15,62
2021-04-13,16,71
2021-04-13,17,73
2021-04-13,18,79
2021-04-13,19,65
2021-04-13,20,63
2021-04-14,0,61
2021-04-14,2,54
2021-04-14,5,57
2021-04-14,6,52
2021-04-14,7,58
2021-04-14,8,65
2021-04-14,9,68
2021-04-14,10,63
2021-04-14,11,61
2021-04-14,12,61
2021-04-14,13,61
2021-04-14,14,61
2021-04-14,15,61
2021-04-14,16,68
2021-04-14,17,77
2021-04-14,18,73
2021-04-14,19,72
2021-04-14,20,66
2021-04-14,21,62
2021-04-14,22,60
2021-04-14,23,55
2021-04-15,0,57
2021-04-15,1,53
2021-04-15,5,57
2021-04-15,6,54
2021-04-15,7,60
2021-04-15,8,67
2021-04-15,9,68
2021-04-15,10,69
2021-04-15,11,73
2021-04-15,12,68
2021-04-15,13,67
2021-04-15,14,66
2021-04-15,15,70
2021-04-15,16,71
2021-04-15,17,78
2021-04-15,18,73
2021-04-15,19,72
2021-04-15,20,65
2021-04-15,21,61
2021-04-15,22,62
2021-04-15,23,60
2021-04-16,0,61
2021-04-16,1,56
2021-04-16,2,56
2021-04-16,4,52
2021-04-16,5,54
2021-04-16,6,54
2021-04-16,7,56
2021-04-16,8,67
2021-04-16,9,71
2021-04-16,10,75
2021-04-16,11,78
2021-04-16,12,75
2021-04-16,13,80
2021-04-16,14,74
2021-04-16,15,78
2021-04-16,16,81
2021-04-16,17,81
2021-04-16,18,75
2021-04-16,19,77
2021-04-16,20,68
2021-04-16,21,65
2021-04-16,22,61
2021-04-16,23,59
2021-04-17,0,63
2021-04-17,1,56
2021-04-17,2,56
2021-04-17,3,53
2021-04-17,5,56
2021-04-17,6,58
2021-04-17,7,55
2021-04-17,8,63
2021-04-17,9,71
2021-04-17,10,78
2021-04-17,11,87
2021-04-17,12,110
2021-04-17,13,112
2021-04-17,14,112
2021-04-17,15,118
2021-04-17,16,117
2021-04-17,17,85
2021-04-17,18,82
2021-04-17,19,79
2021-04-17,20,72
2021-04-17,21,69
2021-04-17,22,63
2021-04-17,23,58
2021-04-18,0,64
2021-04-18,1,56
2021-04-18,2,56
2021-04-18,4,56
2021-04-18,6,56
2021-04-18,8,63
2021-04-18,9,73
2021-04-18,10,78
2021-04-18,11,82
2021-04-18,12,83
2021-04-18,13,83
2021-04-18,14,83
2021-04-18,15,85
2021-04-18,16,82
2021-04-18,17,78
2021-04-18,18,78
2021-04-18,19,78
2021-04-18,20,70
2021-04-18,21,63
2021-04-18,22,62
2021-04-18,23,58
2021-04-19,1,53
2021-04-19,3,52
2021-04-19,5,59
2021-04-19,6,53
2021-04-19,7,59
2021-04-19,8,71
2021-04-19,9,72
2021-04-19,10,69
2021-04-19,11,72
2021-04-19,12,72
2021-04-19,13,73
2021-04-19,14,73
2021-04-19,15,74
2021-04-19,16,74
2021-04-19,17,72
2021-04-19,18,72
2021-04-19,19,71
2021-04-19,20,63
2021-04-19,21,60
2021-04-19,22,58
2021-04-19,23,55
2021-04-20,0,56
2021-04-20,1,50
2021-04-20,3,53
2021-04-20,6,58
2021-04-20,7,61
2021-04-20,8,69
2021-04-20,9,69
2021-04-20,10,66
2021-04-20,11,67
2021-04-20,12,66
2021-04-20,13,66
2021-04-20,14,66
2021-04-20,15,64
2021-04-20,16,71
2021-04-20,17,71
2021-04-20,18,78
2021-04-20,19,68
2021-04-20,20,64
2021-04-20,21,59
2021-04-20,22,53
2021-04-20,23,57
2021-04-21,0,58
2021-04-21,1,53
2021-04-21,3,54
2021-04-21,5,55
2021-04-21,6,53
2021-04-21,7,56
2021-04-21,8,65
2021-04-21,9,70
2021-04-21,10,65
2021-04-21,11,65
2021-04-21,12,66
2021-04-21,13,66
2021-04-21,14,66
2021-04-21,15,63
2021-04-21,16,72
2021-04-21,17,83
2021-04-21,18,80
2021-04-21,19,74
2021-04-21,20,68
2021-04-21,21,61
2021-04-21,22,60
2021-04-21,23,57
2021-04-22,0,56
2021-04-22,1,54
2021-04-22,5,53
2021-04-22,6,53
2021-04-22,7,61
2021-04-22,8,68
2021-04-22,9,69
2021-04-22,10,70
2021-04-22,11,74
2021-04-22,12,71
2021-04-22,13,71
2021-04-22,14,71
2021-04-22,15,67
2021-04-22,16,73
2021-04-22,17,75
2021-04-22,18,78
2021-04-22,19,77
2021-04-22,20,68
2021-04-22,21,61
2021-04-22,22,61
2021-04-22,23,56
2021-04-23,0,56
2021-04-23,1,53
2021-04-23,2,56
2021-04-23,3,54
2021-04-23,4,53
2021-04-23,6,57
2021-04-23,7,58
2021-04-23,8,68
2021-04-23,9,75
2021-04-23,10,81
2021-04-23,11,82
2021-04-23,12,78
2021-04-23,13,78
2021-04-23,14,77
2021-04-23,15,77
2021-04-23,16,80
2021-04-23,17,78
2021-04-23,18,82
2021-04-23,19,79
2021-04-23,20,66
2021-04-23,21,63
2021-04-23,22,61
2021-04-23,23,60
2021-04-24,0,56
2021-04-24,1,54
2021-04-24,2,53
2021-04-24,3,52
2021-04-24,5,51
2021-04-24,7,58
2021-04-24,8,66
2021-04-24,9,75
2021-04-24,10,93
2021-04-24,11,98
2021-04-24,12,118
2021-04-24,13,118
2021-04-24,14,112
2021-04-24,15,112
2021-04-24,16,107
2021-04-24,17,93
2021-04-24,18,91
2021-04-24,19,82
2021-04-24,20,73
2021-04-24,21,75
2021-04-24,22,65
2021-04-24,23,61
2021-04-25,0,60
2021-04-25,1,55
2021-04-25,2,56
2021-04-25,6,55
2021-04-25,7,60
2021-04-25,8,65
2021-04-25,9,73
2021-04-25,10,80
2021-04-25,11,85
2021-04-25,12,87
2021-04-25,13,85
2021-04-25,14,85
2021-04-25,15,85
2021-04-25,16,85
2021-04-25,17,85
2021-04-25,18,85
2021-04-25,19,85
2021-04-25,20,70
2021-04-25,21,67
2021-04-25,22,64
2021-04-26,0,65
2021-04-26,1,57
2021-04-26,2,52
2021-04-26,4,52
2021-04-26,5,50
2021-04-26,6,56
2021-04-26,7,62
2021-04-26,8,71
2021-04-26,9,75
2021-04-26,10,72
2021-04-26,11,77
2021-04-26,12,75
2021-04-26,13,75
2021-04-26,14,74
2021-04-26,15,74
2021-04-26,16,78
2021-04-26,17,77
2021-04-26,18,78
2021-04-26,19,76
2021-04-26,20,65
2021-04-26,21,60
2021-04-26,22,61
2021-04-27,0,56
2021-04-27,5,52
2021-04-27,6,54
2021-04-27,7,61
2021-04-27,8,66
2021-04-27,9,68
2021-04-27,10,64
2021-04-27,11,67
2021-04-27,12,67
2021-04-27,13,67
2021-04-27,14,66
2021-04-27,15,63
2021-04-27,16,71
2021-04-27,17,70
2021-04-27,18,75
2021-04-27,19,64
2021-04-27,20,61
2021-04-27,21,58
2021-04-27,22,56
2021-04-27,23,55
2021-04-28,0,58
2021-04-28,3,55
2021-04-28,4,55
2021-04-28,5,54
2021-04-28,6,54
2021-04-28,7,64
2021-04-28,8,70
2021-04-28,9,75
2021-04-28,10,65
